1; Caius;Any progress so far?;  ;<end>
2; Me;The warehouse.; ;<end>
3; Caius;What do you mean?;  ;<end>
4; Me;I've gone through the warehouse; ;<end>
5; Caius;Beyond the warehouse... I see, you are progressing fast, congratulations.; ;<end>
6; Me;...; ;<end>
7; Caius;Report data has been unlocked. It appears to be a database centre. The 
computing part of a laboratory.;  ;<end>
8; Me;Hiding a laboratory?; ;<end>
10; Caius;I can't say for sure that they are hiding it, it seems they have found 
it quite easy. However, I can point out the sudden change of permissions in this 
regard. I am sorry I cannot be of more help, Miss Raisen.;  ;<end>
9; Me;What a coincidence.; ;<end>
11; Caius;Certainly, but surely it is just that, a coincidence.;  ;<end>
12; Me;...; ;<end>
